app,file,category,field,current,expected,severity,status,detail
N8n,Apps/N8n/appfile.json,appfile_image_tag_mismatch,container.image,n8nio/n8n:latest,n8nio/n8n:1.123.0,medium,needs_fix,legacy appfile image tag differs from compose main image
N8n,Apps/N8n/docker-compose.yml,service_metadata_env_gap,services.<main>.x-casaos.envs,TZ,"TZ,N8N_SECURE_COOKIE",low,needs_review,some environment variables are not represented in service-level CasaOS env metadata
Nextcloud,Apps/Nextcloud/appfile.json,appfile_image_tag_mismatch,container.image,nextcloud:latest,nextcloud:32.0,medium,needs_fix,legacy appfile image tag differs from compose main image
NginxProxyManager,Apps/NginxProxyManager/appfile.json,appfile_image_tag_mismatch,container.image,jc21/nginx-proxy-manager:latest,jc21/nginx-proxy-manager:2.13.5,medium,needs_fix,legacy appfile image tag differs from compose main image
Node-RED,Apps/Node-RED/appfile.json,appfile_image_tag_mismatch,container.image,nodered/node-red:3.1.0-18,nodered/node-red:4.1.2,medium,needs_fix,legacy appfile image tag differs from compose main image
Nzbget,Apps/Nzbget/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/nzbget:latest,linuxserver/nzbget:25.4.20251205,medium,needs_fix,legacy appfile image tag differs from compose main image
Ombi,Apps/Ombi/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/ombi:latest,linuxserver/ombi:4.47.1,medium,needs_fix,legacy appfile image tag differs from compose main image
OpenHAB,Apps/OpenHAB/appfile.json,appfile_image_tag_mismatch,container.image,openhab/openhab:latest-debian,openhab/openhab:4.3.3,medium,needs_fix,legacy appfile image tag differs from compose main image
OpenHAB,Apps/OpenHAB/docker-compose.yml,service_metadata_volume_gap,services.<main>.x-casaos.volumes,"/etc/localtime,/etc/timezone,/opt/openhab/addons,/opt/openhab/conf,/opt/openhab/userdata","/etc/localtime,/etc/timezone,/openhab/addons,/openhab/conf,/openhab/userdata",low,needs_review,some mounted target paths are not represented in service-level CasaOS volume metadata
OpenSpeedTest,Apps/OpenSpeedTest/appfile.json,appfile_image_tag_mismatch,container.image,openspeedtest/latest:latest,openspeedtest/latest:v2.0.6,medium,needs_fix,legacy appfile image tag differs from compose main image
PhotoPrism,Apps/PhotoPrism/appfile.json,appfile_image_tag_mismatch,container.image,photoprism/photoprism:latest,photoprism/photoprism:250228,medium,needs_fix,legacy appfile image tag differs from compose main image
Pihole,Apps/Pihole/appfile.json,appfile_image_tag_mismatch,container.image,pihole/pihole:latest,pihole/pihole:2025.11.1,medium,needs_fix,legacy appfile image tag differs from compose main image
Plex_Nvidia,Apps/Plex_Nvidia/docker-compose.yml,service_metadata_env_gap,services.<main>.x-casaos.envs,"PUID,PGID,VERSION","PGID,PUID,VERSION,CPU_FALLBACK,NVIDIA_VISIBLE_DEVICES",low,needs_review,some environment variables are not represented in service-level CasaOS env metadata
